cell_id,municipio,time_bucket,dia_tipo,hour,centroid_lat,centroid_lon,n_requests,n_drivers_available,supply_demand_ratio,demand_density,cancel_rate
1-0-0,1,entre_semana_09,entre_semana,9,16.701349,-93.158651,1,2,2.0,11.11,0.0
1-0-0,1,entre_semana_17,entre_semana,17,16.701349,-93.158651,1,4,4.0,11.11,0.0
1-0-0,1,fin_de_semana_13,fin_de_semana,13,16.701349,-93.158651,1,7,7.0,11.11,1.0
1-0-2,1,entre_semana_07,entre_semana,7,16.701349,-93.153255,1,4,4.0,11.11,0.0
1-0-2,1,fin_de_semana_20,fin_de_semana,20,16.701349,-93.153255,1,3,3.0,11.11,0.0
1-0-3,1,entre_semana_10,entre_semana,10,16.701349,-93.150557,1,5,5.0,11.11,0.0
1-0-4,1,entre_semana_18,entre_semana,18,16.701349,-93.147859,1,3,3.0,11.11,1.0
1-0-5,1,entre_semana_10,entre_semana,10,16.701349,-93.145161,1,4,4.0,11.11,0.0
1-0-5,1,entre_semana_20,entre_semana,20,16.701349,-93.145161,1,8,8.0,11.11,0.0
1-0-5,1,fin_de_semana_06,fin_de_semana,6,16.701349,-93.145161,1,5,5.0,11.11,0.0
1-0-6,1,entre_semana_02,entre_semana,2,16.701349,-93.142463,1,4,4.0,11.11,0.0
1-0-6,1,entre_semana_13,entre_semana,13,16.701349,-93.142463,1,6,6.0,11.11,0.0
1-0-6,1,entre_semana_17,entre_semana,17,16.701349,-93.142463,1,3,3.0,11.11,0.0
1-0-7,1,entre_semana_18,entre_semana,18,16.701349,-93.139765,1,3,3.0,11.11,1.0
1-0-7,1,fin_de_semana_22,fin_de_semana,22,16.701349,-93.139765,1,1,1.0,11.11,0.0
1-0-8,1,entre_semana_11,entre_semana,11,16.701349,-93.137067,1,4,4.0,11.11,0.0
1-0-8,1,entre_semana_12,entre_semana,12,16.701349,-93.137067,1,4,4.0,11.11,0.0
1-0-9,1,entre_semana_14,entre_semana,14,16.701349,-93.134369,1,5,5.0,11.11,0.0
1-0-9,1,entre_semana_17,entre_semana,17,16.701349,-93.134369,1,7,7.0,11.11,0.0
1-0-10,1,entre_semana_13,entre_semana,13,16.701349,-93.131671,1,5,5.0,11.11,0.0
1-0-10,1,entre_semana_18,entre_semana,18,16.701349,-93.131671,1,1,1.0,11.11,0.0
1-0-10,1,fin_de_semana_21,fin_de_semana,21,16.701349,-93.131671,1,2,2.0,11.11,0.0
1-0-11,1,entre_semana_06,entre_semana,6,16.701349,-93.128973,1,7,7.0,11.11,0.0
1-0-11,1,entre_semana_19,entre_semana,19,16.701349,-93.128973,1,2,2.0,11.11,0.0
1-0-12,1,entre_semana_18,entre_semana,18,16.701349,-93.126275,1,2,2.0,11.11,0.0
1-0-13,1,fin_de_semana_04,fin_de_semana,4,16.701349,-93.123577,1,7,7.0,11.11,0.0
1-0-13,1,fin_de_semana_07,fin_de_semana,7,16.701349,-93.123577,1,5,5.0,11.11,0.0
1-0-13,1,fin_de_semana_09,fin_de_semana,9,16.701349,-93.123577,1,6,6.0,11.11,0.0
1-0-14,1,entre_semana_09,entre_semana,9,16.701349,-93.12088,1,6,6.0,11.11,0.0
1-0-14,1,entre_semana_16,entre_semana,16,16.701349,-93.12088,1,4,4.0,11.11,0.0
1-0-14,1,entre_semana_18,entre_semana,18,16.701349,-93.12088,1,3,3.0,11.11,0.0
1-0-14,1,fin_de_semana_21,fin_de_semana,21,16.701349,-93.12088,1,3,3.0,11.11,1.0
1-0-15,1,fin_de_semana_08,fin_de_semana,8,16.701349,-93.118182,1,1,1.0,11.11,0.0
